"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00Qt,,00Ca,00Gk,,       741,007B,0017,0005,??????,????,????,002D,0002,?-179,29.12.1999,27.12.1999,31.12.8888,,,,,,,,,,,,,,
00Qu,,00Fw,00Gk,,       742,007B,0017,0005,??????,????,????,002D,0002,?-81,09.06.1999,05.06.1999,31.12.8888,,,,,,,,,,,,,,
00Qv,,00Fu,00Gk,,       743,007B,0017,0005,??????,????,????,002D,0002,?-11,28.01.2002,01.02.2002,31.12.8888,,,,,,,,,,,,,,
00Qw,,00JZ,00Ib,,       744,000?,000g,0005,??????,????,????,002D,0002,?-78,19.03.2007,17.03.2007,31.12.8888,,,,,,,,,,,,,,
00Qx,,00Np,00Gk,,       745,00FZ,0017,0005,??????,????,????,003C,0003,333/?,17.11.2006,21.11.2006,31.12.8888,,,,,,,,,,,,,,
00Qy,,00Nq,00Gk,,       746,,0017,0005,??????,????,????,003o,0003,,,01.09.2007,28.04.2008,,,,,,,,,,,,,,
00Qz,,00NI,00Gk,,       747,,0017,0005,??????,????,????,001m,0003,,,03.09.2007,26.05.2008,,,,,,,,,,,,,,
00Q?,,007S,00w?,,       748,005?,000j,0005,??????,????,????,001K,0001,,,01.01.2008,11.10.2010,,,,,,,,,,,0009,?-518,15.10.2010,
00Q?,,007T,00wz,,       749,00DQ,002?,0005,??????,????,????,004F,0001,?-114,01.09.1997,01.09.1997,31.12.8888,,,,,,,,,,,,,,
00Q?,,007U,00wz,,       750,00CV,002?,0005,??????,????,????,000K,0001,?-92,16.07.1996,01.07.1996,31.12.8888,,,,,,,,,,,,,,
00Q?,,007V,00w?,,       751,005?,000j,0005,??????,????,????,002O,000K,,,01.01.2008,30.11.2011,,,,,,,,,,,0009,?-680,05.12.2011,
00Q?,,007X,00w?,,       752,005?,000j,0005,??????,????,????,001K,0001,?-107,03.09.2002,02.09.2002,31.12.8888,,,,,,,,,,,,,,
00Q?,,007W,00w?,,       753,009I,001u,0005,??????,????,????,004?,000K,,,01.01.2008,16.06.2012,,,,,,,,,,,,,,
00Q?,,007Y,00ww,,       754,00C?,002x,0005,??????,????,????,003V,0002,75/?,30.07.1994,01.07.1994,31.12.8888,,,,,,,,,,,,,,
00Q?,,007d,00c?,,       755,005G,001y,0005,??????,????,????,001w,0002,51,08.08.1969,15.08.1969,31.12.8888,,,,,,,,,,,,,,
00Q?,,007g,00w?,,       756,005?,000j,0005,??????,????,????,0025,0002,,,01.01.2008,05.09.2012,,,,,,,,,,,0009,?-713,04.05.2012,
00Q?,,007h,00w?,,       757,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,29.12.2010,,,,,,,,,,,0009,?-626,20.12.2010,
00Q?,,007i,00wz,,       758,00CJ,002?,0005,??????,????,????,002D,0002,?-100,01.08.1996,05.08.1996,31.12.8888,,,,,,,,,,,,,,
00Q?,,007k,00Ia,,       759,008V,001?,0005,??????,????,????,002A,0002,?-109,29.07.1999,09.08.1999,31.12.8888,,,,,,,,,,,,,,
00Q?,,007l,00w?,,       760,,000j,0005,??????,????,????,002D,0002,,,01.01.2008,29.02.2008,,,,,,,,,,,,,,
00Q?,,007n,00w?,,       761,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,09.05.2012,,,,,,,,,,,0009,?-365,10.05.2012,
00Q?,,007o,00wz,,       762,00CJ,002?,0005,??????,????,????,002D,0002,86/?,18.07.2001,23.07.2001,31.12.8888,,,,,,,,,,,,,,
00Q?,,0080,00w?,,       763,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,10.09.2008,,,,,,,,,,,,,,
00Q?,,00JR,00ww,,       764,00C?,002x,0005,??????,????,????,003V,0002,57/?,16.06.2003,16.06.2003,31.12.8888,,,,,,,,,,,,,,
00Q?,,00M?,00w?,,       765,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,24.06.2010,,,,,,,,,,,0009,?-291,22.06.2010,
00Q?,,00Mn,00w?,,       766,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,11.12.2012,,,,,,,,,,,0009,?-1032,12.12.2012,
