"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,9,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,3,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,13,17,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,000m,,2,?,?,11,14,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.2012,????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,13,?,?,6,10,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,10,?,?,2,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,1,?,?,6,0,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,16.02.2014,??????,0008,,4,?,?,11,16,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,16.02.2014,??????,0008,,"0,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0008,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0008,,30,?,?,6,10,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,16.02.2014,??????,0008,,8,?,?,8,11,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0008,,"17,5",?,?,4,5,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,,,"0,5",?,?,6,12,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0008,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
006?,006?,01.11.1945,31.12.8888,??????,0008,,"16,25",?,?,2,3,,,,,,,,,,,,,,,,,,,,
0070,0070,01.11.1945,16.02.2014,??????,0008,,4,?,?,2,3,,,,,,,,,,,,,,,,,,,,
0071,0071,01.11.1945,31.12.2013,??????,,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
0072,0072,01.11.1945,31.12.2013,????,,,"4,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
0073,0073,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
0074,0074,01.11.1945,31.12.2013,??????,,,2,?,?,2,4,,,,,,,,,,,,,,,,,,,,
0075,0075,01.11.1945,31.12.8888,??????,0008,,2,?,?,12,17,,,,,,,,,,,,,,,,,,,,
0076,0076,01.11.1945,16.02.2014,??????,0008,,24,?,?,11,16,,,,,,,,,,,,,,,,,,,,
0077,0077,01.11.1945,31.12.8888,??????,0008,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
0079,0079,01.11.1945,31.12.2012,????,0001,,"0,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
007A,007A,01.11.1945,31.12.8888,??????,0001,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
007B,007B,01.11.1945,31.12.8888,??????,0001,,"4,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
007C,007C,01.11.1945,31.12.2012,????,0001,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
007D,007D,01.11.1945,31.12.8888,??????,0001,,4,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007E,007E,01.11.1945,31.12.8888,??????,0001,,3,?,?,2,3,,,,,,,,,,,,,,,,,,,,
007F,007F,01.11.1945,31.12.8888,??????,0001,,6,?,?,2,4,,,,,,,,,,,,,,,,,,,,
007G,007G,01.11.1945,31.12.8888,??????,,,1,?,?,12,17,,,,,,,,,,,,,,,,,,,,
007H,007H,01.11.1945,31.12.8888,??????,,,4,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007I,007I,01.11.1945,31.12.8888,??????,,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
007J,007J,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
007K,007K,01.11.1945,31.12.8888,??????,,,4,?,?,6,10,,,,,,,,,,,,,,,,,,,,
007L,007L,01.11.1945,31.12.8888,??????,,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
007M,007M,01.11.1945,31.12.8888,??????,,,"3,5",?,?,4,5,,,,,,,,,,,,,,,,,,,,
007N,007N,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
